reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,7,0,0,0.0,28.571429,14.285714,28.571429,28.571429,0.0,0.0,0.0,0.0,20.0,1,0,0,1
202201,13,0,0,7.692308,23.076923,30.769231,15.384615,15.384615,7.692308,0.0,0.0,0.0,16.0,1,0,0,1
202201,10,0,0,0.0,0.0,30.0,40.0,10.0,20.0,0.0,0.0,0.0,32.0,1,0,0,1
202201,18,0,0,5.555556,27.777778,27.777778,11.111111,22.222222,5.555556,0.0,0.0,0.0,18.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,51.0,0,1,1,0
202201,2,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,162.0,1,0,1,0
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,0,1,0,1
202201,45,0,4,20.408163,36.734694,20.408163,6.122449,2.040816,0.0,2.040816,4.081633,0.0,17.0,1,0,0,1
202201,5,0,1,0.0,16.666667,33.333333,16.666667,0.0,0.0,0.0,0.0,16.666667,205.0,1,0,0,1
202201,5,0,0,0.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,21.0,1,0,0,1
202201,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,362.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,24.0,1,0,0,1
202201,5,0,0,0.0,60.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,27.0,1,0,0,1
202201,3,0,0,0.0,66.666667,0.0,0.0,0.0,0.0,33.333333,0.0,0.0,42.0,1,0,0,1
202201,29,0,0,0.0,27.586207,31.034483,20.689655,20.689655,0.0,0.0,0.0,0.0,16.0,0,1,0,1
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,22.0,1,0,0,1
202201,10,0,1,27.272727,9.090909,27.272727,0.0,9.090909,0.0,9.090909,9.090909,0.0,37.0,1,0,0,1
202201,2,0,0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,17.0,1,0,0,1
202201,3,0,0,0.0,33.333333,0.0,66.666667,0.0,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,3,0,0,0.0,0.0,33.333333,66.666667,0.0,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,5,0,0,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,48.0,1,0,0,1
202201,2,0,0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,0,1
202201,10,0,0,0.0,40.0,30.0,10.0,10.0,10.0,0.0,0.0,0.0,17.0,0,1,0,1
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,17.0,1,0,0,1
202201,20,0,0,60.0,10.0,15.0,0.0,10.0,0.0,0.0,5.0,0.0,18.0,1,0,0,1
202201,2,0,0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,40.0,1,0,0,1
202201,3,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,1,0,0,1
